iter	Passed	Remaining
261	632	1299
262	635	1296
263	637	1294
264	640	1292
265	642	1289
266	645	1288
267	647	1285
268	649	1283
269	652	1280
270	654	1278
271	657	1275
272	659	1272
273	661	1270
274	663	1267
275	666	1265
276	668	1262
277	671	1259
278	673	1257
279	675	1254
280	677	1252
281	680	1249
282	682	1246
283	684	1244
284	687	1241
285	690	1240
286	692	1237
287	694	1234
288	696	1231
289	699	1230
290	702	1228
291	704	1225
292	706	1223
293	709	1220
294	711	1217
295	713	1215
296	715	1212
297	718	1210
298	721	1208
299	723	1205
300	725	1203
301	727	1200
302	730	1198
303	733	1196
304	735	1193
305	737	1191
306	740	1188
307	742	1186
308	744	1183
309	747	1181
310	749	1179
311	752	1177
312	755	1175
313	757	1172
314	760	1170
315	762	1167
316	765	1165
317	767	1162
318	769	1160
319	772	1159
320	774	1156
321	777	1153
322	779	1151
323	782	1149
324	784	1147
325	787	1144
326	789	1142
327	791	1139
328	794	1136
329	796	1134
330	799	1132
331	802	1130
332	804	1128
333	806	1125
334	809	1124
335	812	1121
336	814	1119
337	816	1116
338	819	1114
339	821	1111
340	823	1108
341	825	1105
342	828	1103
343	830	1100
344	833	1099
345	835	1096
346	838	1094
347	840	1091
348	842	1088
349	845	1086
350	847	1084
351	849	1081
352	851	1078
353	854	1076
354	856	1073
355	859	1071
356	861	1068
357	863	1066
358	865	1063
359	868	1061
360	870	1058
361	872	1056
362	875	1053
363	877	1051
364	879	1048
365	882	1046
366	884	1043
367	887	1041
368	889	1039
369	891	1036
370	894	1034
371	896	1031
372	899	1029
373	901	1027
374	904	1024
375	906	1022
376	909	1020
377	911	1018
378	914	1016
379	917	1013
380	919	1011
381	921	1008
382	924	1006
383	926	1003
384	928	1001
385	931	998
386	933	995
387	935	993
388	937	990
389	940	988
390	942	985
391	944	983
392	946	980
393	949	977
394	951	975
395	953	973
396	956	970
397	958	967
398	960	965
399	963	963
400	965	960
401	967	958
402	970	955
403	972	953
404	975	951
405	977	948
406	979	946
407	982	943
408	984	941
409	986	938
410	989	936
411	991	933
412	993	931
413	996	928
414	998	926
415	1000	923
416	1003	921
417	1005	918
418	1007	916
419	1009	913
420	1012	911
421	1014	908
422	1016	906
423	1019	904
424	1022	901
425	1025	900
426	1027	897
427	1030	895
428	1032	893
429	1034	890
430	1037	888
431	1039	885
432	1041	883
433	1044	880
434	1046	877
435	1048	875
436	1051	873
437	1053	870
438	1055	868
439	1058	865
440	1060	863
441	1062	860
442	1064	858
443	1067	856
444	1070	853
445	1072	851
446	1074	848
447	1077	846
448	1079	843
449	1082	841
450	1084	839
451	1086	836
452	1088	834
453	1091	831
454	1093	829
455	1096	826
456	1098	824
457	1100	821
458	1102	819
459	1105	816
460	1107	814
461	1109	811
462	1112	809
463	1114	807
464	1117	804
465	1119	802
466	1121	799
467	1124	797
468	1126	794
469	1128	792
470	1131	790
471	1133	787
472	1136	785
473	1138	783
474	1141	780
475	1144	778
476	1146	776
477	1148	773
478	1151	771
479	1153	768
480	1155	766
481	1158	764
482	1161	761
483	1163	759
484	1165	756
485	1167	754
486	1170	752
487	1172	749
488	1175	747
489	1177	744
490	1179	742
491	1182	740
492	1184	737
493	1186	734
494	1189	732
495	1191	730
496	1193	727
497	1195	725
498	1198	722
499	1200	720
500	1202	717
501	1205	715
502	1207	713
503	1209	710
504	1212	708
505	1214	705
506	1216	703
507	1219	700
508	1222	698
509	1224	696
510	1226	693
511	1228	691
512	1232	689
513	1247	694
514	1266	701
515	1279	704
516	1289	705
517	1295	705
518	1298	702
519	1300	700
520	1304	698
521	1310	698
522	1314	696
523	1317	693
524	1320	691
525	1322	688
526	1325	686
527	1327	683
528	1329	681
529	1332	678
530	1335	676
531	1338	674
532	1340	671
533	1343	669
534	1346	666
535	1348	664
536	1351	661
537	1353	659
538	1356	656
539	1358	654
540	1360	651
541	1363	648
542	1365	646
543	1367	643
544	1370	641
545	1372	638
546	1375	636
547	1378	633
548	1380	631
549	1382	628
550	1385	626
551	1387	623
552	1389	620
553	1392	618
554	1394	615
555	1396	613
556	1399	610
557	1402	608
558	1404	605
559	1406	602
560	1409	600
561	1411	597
562	1413	595
563	1416	592
564	1418	590
565	1420	587
566	1423	584
567	1425	582
568	1427	579
569	1430	577
570	1432	574
571	1435	572
572	1437	569
573	1439	566
574	1442	564
575	1444	561
576	1446	559
577	1449	556
578	1451	554
579	1454	551
580	1456	549
581	1458	546
582	1461	543
583	1463	541
584	1465	538
585	1468	536
586	1470	533
587	1473	531
588	1475	528
589	1477	525
590	1480	523
591	1482	520
592	1484	518
593	1486	515
594	1488	513
595	1491	510
596	1493	507
597	1495	505
598	1498	502
599	1501	500
600	1503	497
601	1505	495
602	1508	492
603	1510	490
604	1513	487
605	1515	485
606	1517	482
607	1520	480
608	1522	477
609	1524	474
610	1527	472
611	1529	469
612	1531	467
613	1534	464
614	1536	462
615	1538	459
616	1541	457
617	1543	454
618	1546	452
619	1548	449
620	1551	447
621	1553	444
622	1555	442
623	1558	439
624	1560	436
625	1562	434
626	1564	431
627	1567	429
628	1569	426
629	1571	424
630	1574	421
631	1576	419
632	1579	416
633	1581	414
634	1583	411
635	1586	409
636	1588	406
637	1590	403
638	1592	401
639	1595	398
640	1597	396
641	1599	393
642	1602	391
643	1604	388
644	1606	386
645	1608	383
646	1611	381
647	1613	378
648	1616	375
649	1618	373
650	1620	370
651	1623	368
652	1625	365
653	1627	363
654	1629	360
655	1632	358
656	1634	355
657	1636	353
658	1639	350
659	1641	348
660	1643	345
661	1645	343
662	1648	340
663	1650	338
664	1652	335
665	1655	333
666	1657	330
667	1660	328
668	1662	325
669	1665	323
670	1667	320
671	1669	318
672	1672	315
673	1674	313
674	1676	310
675	1679	308
676	1681	305
677	1684	303
678	1686	300
679	1688	297
680	1691	295
681	1693	293
682	1696	290
683	1698	288
684	1700	285
685	1703	283
686	1705	280
687	1707	277
688	1709	275
689	1712	272
690	1714	270
691	1716	267
692	1719	265
693	1721	262
694	1724	260
695	1726	258
696	1729	255
697	1731	253
698	1733	250
699	1736	248
700	1738	245
701	1740	243
702	1743	240
703	1745	238
704	1747	235
705	1750	233
706	1752	230
707	1754	227
708	1756	225
709	1759	223
710	1762	220
711	1764	218
712	1767	215
713	1769	213
714	1772	210
715	1774	208
716	1776	205
717	1779	203
718	1781	200
719	1783	198
720	1786	195
721	1788	193
722	1790	190
723	1792	188
724	1794	185
725	1797	183
726	1799	180
727	1801	178
728	1803	175
729	1806	173
730	1808	170
731	1810	168
732	1812	165
733	1814	163
734	1816	160
735	1818	158
736	1821	155
737	1823	153
738	1825	150
739	1827	148
740	1829	145
741	1832	143
742	1834	140
743	1836	138
744	1838	135
745	1841	133
746	1844	130
747	1846	128
748	1849	125
749	1852	123
750	1854	121
751	1857	118
752	1860	116
753	1863	113
754	1866	111
755	1868	108
756	1871	106
757	1873	103
758	1875	101
759	1878	98
760	1880	96
761	1882	93
762	1884	91
763	1886	88
764	1889	86
765	1891	83
766	1893	81
767	1895	78
768	1898	76
769	1900	74
770	1903	71
771	1905	69
772	1908	66
773	1910	64
774	1912	61
775	1915	59
776	1917	56
777	1919	54
778	1922	51
779	1924	49
780	1926	46
781	1929	44
782	1931	41
783	1934	39
784	1936	37
785	1938	34
786	1941	32
787	1943	29
788	1945	27
789	1948	24
790	1950	22
791	1952	19
792	1955	17
793	1957	14
794	1959	12
795	1962	9
796	1964	7
797	1966	4
798	1969	2
799	1971	0
