iter	Passed	Remaining
412	2749	1105
413	2754	1097
414	2757	1089
415	2760	1081
416	2764	1073
417	2769	1066
418	2772	1058
419	2776	1051
420	2781	1043
421	2785	1036
422	2788	1028
423	2792	1020
424	2796	1013
425	2799	1005
426	2803	998
427	2808	990
428	2812	983
429	2815	975
430	2819	968
431	2823	960
432	2827	953
433	2831	946
434	2835	938
435	2839	931
436	2843	924
437	2847	916
438	2852	909
439	2856	902
440	2860	895
441	2863	887
442	2867	880
443	2871	872
444	2874	865
445	2878	858
446	2882	851
447	2886	844
448	2892	837
449	2896	830
450	2900	823
451	2904	816
452	2908	809
453	2912	801
454	2915	794
455	2920	787
456	2923	780
457	2927	773
458	2931	766
459	2935	759
460	2939	752
461	2944	745
462	2947	738
463	2951	731
464	2956	724
465	2960	717
466	2964	710
467	2968	704
468	2972	697
469	2976	690
470	2980	683
471	2985	676
472	2988	669
473	2993	663
474	2997	656
475	3000	649
476	3004	642
477	3009	635
478	3013	629
479	3017	622
480	3021	615
481	3025	608
482	3029	602
483	3033	595
484	3037	588
485	3042	582
486	3046	575
487	3049	568
488	3053	562
489	3057	555
490	3060	548
491	3064	541
492	3068	535
493	3071	528
494	3076	522
495	3080	515
496	3084	508
497	3088	502
498	3091	495
499	3095	489
500	3099	482
501	3103	475
502	3107	469
503	3111	463
504	3115	456
505	3118	449
506	3122	443
507	3126	436
508	3129	430
509	3133	423
510	3137	417
511	3141	411
512	3145	404
513	3149	398
514	3152	391
515	3156	385
516	3160	378
517	3164	372
518	3167	366
519	3171	359
520	3175	353
521	3178	347
522	3182	340
523	3185	334
524	3189	328
525	3193	321
526	3196	315
527	3200	309
528	3203	302
529	3207	296
530	3211	290
531	3214	283
532	3218	277
533	3222	271
534	3225	265
535	3229	259
536	3233	252
537	3237	246
538	3241	240
539	3244	234
540	3249	228
541	3253	222
542	3257	215
543	3260	209
544	3264	203
545	3267	197
546	3271	191
547	3275	185
548	3279	179
549	3284	173
550	3287	167
551	3291	161
552	3295	154
553	3298	148
554	3302	142
555	3307	136
556	3310	130
557	3315	124
558	3318	118
559	3321	112
560	3325	106
561	3328	100
562	3332	94
563	3335	88
564	3338	82
565	3341	76
566	3344	70
567	3347	64
568	3350	58
569	3353	52
570	3356	47
571	3359	41
572	3362	35
573	3365	29
574	3368	23
575	3371	17
576	3374	11
577	3376	5
578	3379	0
704	6
578	3707	0
