iter	Logloss
0	0.6824776487
1	0.6741107644
2	0.6675679248
3	0.6618941023
4	0.6573239219
5	0.6538272892
6	0.6501670995
7	0.6467147733
8	0.644353047
9	0.642000475
10	0.6398343127
11	0.6369862778
12	0.6347879943
13	0.6332222418
14	0.6311282747
15	0.6292260096
16	0.6280017646
17	0.6267775306
18	0.6255196365
19	0.6242628827
20	0.6224867856
21	0.6210535151
22	0.6194016978
23	0.6181883927
24	0.6175426398
25	0.6163204312
26	0.6150737122
27	0.6139201026
28	0.6124376677
29	0.6117414698
30	0.6106643207
31	0.6094620615
32	0.6083489675
33	0.6073485591
34	0.6063892328
35	0.6054416392
36	0.604576864
37	0.6038946016
38	0.6033174437
39	0.602165273
40	0.6009145465
41	0.6000087792
42	0.598905407
43	0.598068889
44	0.5967527302
45	0.5961742123
46	0.5954384789
47	0.5941700116
48	0.5932500897
49	0.5920493041
50	0.5912822998
51	0.5905065486
52	0.5900577345
53	0.5892211997
54	0.5881255958
55	0.5873374051
56	0.5864245588
57	0.5852260959
58	0.5842095056
59	0.5834221627
60	0.5831552662
61	0.5823753194
62	0.5813885392
63	0.5804204062
64	0.5792691844
65	0.5785198877
66	0.5778164959
67	0.5770798586
68	0.5755837993
69	0.5744311055
70	0.5734114983
71	0.5720369138
72	0.570875527
73	0.5702641461
74	0.5695237821
75	0.5689754858
76	0.5679862628
77	0.567213495
78	0.5666400458
79	0.5655744055
80	0.5648408254
81	0.5639997465
82	0.5632551789
83	0.5625455632
84	0.5616005006
85	0.5607485069
86	0.5600083741
87	0.5595021075
88	0.558558948
89	0.5578889449
90	0.5569742114
91	0.5557033535
92	0.5547377441
93	0.5541339128
94	0.553761946
95	0.5532702722
96	0.5527905175
97	0.551951454
98	0.5515556192
99	0.5510599304
100	0.5502508474
101	0.5498366227
102	0.5488929576
103	0.5483595614
104	0.5477956136
105	0.5471666514
106	0.5460922083
107	0.5454817349
108	0.5448891254
109	0.5442141596
110	0.5434632166
111	0.5428492569
112	0.5420912444
113	0.5409582569
114	0.5400563704
115	0.5397410535
116	0.5393712458
117	0.5388676773
118	0.5380689437
119	0.5369150855
120	0.5359853027
121	0.5354427672
122	0.5350596398
123	0.5343816104
124	0.5334061366
125	0.5328232829
126	0.5321264603
127	0.5314658123
128	0.5306064211
129	0.5301932769
130	0.5292624128
131	0.5284737481
132	0.527644901
133	0.526467508
134	0.5255986466
135	0.5250045084
136	0.5242608427
137	0.5234056842
138	0.5227240091
139	0.5218109784
140	0.5211787695
141	0.520540113
142	0.5195710877
143	0.518503847
144	0.5176307334
145	0.5170165402
146	0.5164315587
147	0.51604149
148	0.5152182935
149	0.5141822547
150	0.5132783298
151	0.5124055622
152	0.5118099494
153	0.5112371895
154	0.5105112431
155	0.5099677272
156	0.5091455774
157	0.5085771475
158	0.5075019201
159	0.5065918939
160	0.5057676318
161	0.5051156374
162	0.5043485048
163	0.5033398167
164	0.5025771767
165	0.5017076089
166	0.5006980213
167	0.50029136
168	0.4995650174
169	0.4992281904
170	0.4984213165
171	0.4978788
172	0.4968490059
173	0.4965092115
174	0.4958956626
175	0.4949244359
176	0.4941699797
177	0.4933442846
178	0.4924546128
179	0.4918044007
180	0.4910330687
181	0.4898337745
182	0.4892537037
183	0.4886040915
184	0.4880807311
185	0.4874615142
186	0.4870754345
187	0.4864609818
188	0.4858256491
189	0.4851768539
190	0.4844460913
191	0.4834892126
192	0.4827732812
193	0.4824704429
194	0.4813688225
195	0.4806478015
196	0.4799040301
197	0.4791518483
198	0.4785217362
199	0.4779952591
200	0.4772521644
201	0.4768871371
202	0.4760494987
203	0.4749479708
204	0.4742079222
205	0.4736361428
206	0.4728611713
207	0.47222069
208	0.471442579
209	0.4702595696
210	0.4699378003
211	0.4692071234
212	0.4681936011
213	0.4674684736
214	0.4666990135
215	0.4660034593
216	0.465097561
217	0.4646646903
218	0.4640229953
219	0.46317808
220	0.4627493468
221	0.4620102553
222	0.4611719306
223	0.4603204054
224	0.4593546847
225	0.4587586553
226	0.4580293372
227	0.45720981
228	0.4565399181
229	0.4558553976
230	0.455111513
231	0.4544887242
232	0.4536464406
233	0.453017938
234	0.4525115034
235	0.4516453148
236	0.4508240088
237	0.45019155
238	0.4495190647
239	0.4488531493
240	0.4482505229
241	0.447699913
242	0.4469666384
243	0.4461321825
244	0.4457230053
245	0.4453343377
246	0.4449474951
247	0.444534543
248	0.443892895
249	0.4430260748
250	0.4423022773
251	0.4417438192
252	0.4411480622
253	0.4405422907
254	0.4398337828
255	0.4393901346
256	0.4387141986
257	0.438139421
258	0.4377820287
259	0.4372893064
260	0.4366293653
261	0.4359079773
262	0.4351543986
263	0.4344392797
264	0.4341606941
265	0.4337464493
266	0.4329360081
267	0.4323989416
268	0.4318057646
269	0.4312056998
270	0.4306212063
271	0.4301603424
272	0.4294110112
273	0.4287505663
274	0.4281435192
275	0.4274836769
276	0.4270903763
277	0.4263797895
278	0.4254966587
279	0.4251756379
280	0.4247597916
281	0.4243168528
282	0.4238890631
283	0.4230692573
284	0.4224682007
285	0.4216790697
286	0.4210059435
287	0.4206072831
288	0.4199993354
289	0.4192362677
290	0.418652727
291	0.4179669972
292	0.417277333
293	0.4167728922
294	0.416068379
295	0.4156198417
296	0.4148026217
297	0.4143716834
298	0.4138017918
299	0.4133417376
300	0.4126400617
301	0.4122985856
302	0.4118734548
303	0.4111325788
304	0.4104047488
305	0.4096105384
306	0.4089180655
307	0.4083039631
308	0.4078278851
309	0.4073732415
310	0.4067403334
311	0.4061529097
312	0.4053977977
313	0.404925343
314	0.4043484564
315	0.4037518291
316	0.4031084797
317	0.4025819929
318	0.4021341553
319	0.4013643808
320	0.400963741
321	0.4004023085
322	0.3997922617
323	0.3991458987
324	0.398635426
325	0.3982054417
326	0.3976174749
327	0.3971522309
328	0.3965075395
329	0.3959672001
330	0.3954941163
331	0.3950201778
332	0.3945647251
333	0.3941253389
334	0.393449864
335	0.3928465512
336	0.3920866098
337	0.3916633046
338	0.3911639545
339	0.3907972184
340	0.3903361735
341	0.390011306
342	0.3891767223
343	0.3886584674
344	0.3879533433
345	0.3874828024
346	0.3870035329
347	0.386631773
348	0.3860491404
349	0.385648297
350	0.3851099206
351	0.3844627674
352	0.3839983761
353	0.3834894822
354	0.3829120173
355	0.382404773
356	0.3819067644
357	0.3814882588
358	0.3809818038
359	0.3805199832
360	0.3798905629
361	0.3794368445
362	0.3789453559
363	0.378446655
364	0.3778961757
365	0.3774690215
366	0.3767965085
367	0.3764040924
368	0.3760493946
369	0.3756215912
370	0.375271076
371	0.3749200375
372	0.3743230483
373	0.3737009984
374	0.3733478105
375	0.372973446
376	0.372528737
377	0.3719083962
378	0.3713197482
379	0.370968117
380	0.3706466935
381	0.370229997
382	0.3695222537
383	0.3689582825
384	0.3686158855
385	0.3680528247
386	0.3674254507
387	0.3670447574
388	0.36651573
389	0.3659969576
390	0.3655713456
391	0.3649808322
392	0.364509732
393	0.3638286289
394	0.3633198862
395	0.3628309299
396	0.3624340106
397	0.3618924782
398	0.3613740568
399	0.3609392155
400	0.3603944882
401	0.3598292699
402	0.3591558843
403	0.3586321302
404	0.358069278
405	0.3576778354
406	0.3572203584
407	0.3569119145
408	0.3563872727
409	0.3560512684
410	0.3555230291
411	0.3550361276
412	0.3547007944
413	0.3541682367
414	0.3537719193
415	0.3534210928
416	0.3528083538
417	0.3524159775
418	0.3518798066
419	0.3514798805
420	0.3510285601
421	0.3503842203
422	0.3500417089
423	0.3497625873
424	0.3494061108
425	0.3488387146
426	0.3482884038
427	0.347895348
428	0.3473596829
429	0.3467320282
430	0.3462329473
431	0.3455566831
432	0.3449946013
433	0.3446584378
434	0.3441496943
435	0.3436900174
436	0.3434668825
437	0.3429709876
438	0.342640041
439	0.3421667623
440	0.3415935981
441	0.3411113347
442	0.3405119101
443	0.3402802343
444	0.3397707684
445	0.3393973703
446	0.3387496678
447	0.3383117163
448	0.3378177713
449	0.3371464622
450	0.3367714773
451	0.3363072949
452	0.3357931549
453	0.3354080357
454	0.3349385977
455	0.3345461437
456	0.334363636
457	0.3338685168
458	0.3333651602
459	0.3330099504
460	0.3324255956
461	0.3317657916
462	0.3311489885
463	0.3307164946
464	0.3301862115
465	0.3298204422
466	0.3294215534
467	0.329067739
468	0.3286830982
469	0.3282067942
470	0.3278990422
471	0.3276226351
472	0.3271591226
473	0.3268048824
474	0.3265197568
475	0.3260670405
476	0.3257437777
477	0.3254302215
478	0.3248783174
479	0.3246823664
480	0.3244179739
481	0.3241970751
482	0.323782564
483	0.3233427499
484	0.3228105092
485	0.3223674783
